,"Table 6. Share to Total Annual Family Income, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2061,Cash Receipts from Abroad,3.53,5.65,3.49,2.1200000000000006,-2.16
2062,Cash Receipts from Domestic Sources,9.72,12.87,8.54,3.1499999999999986,-4.33
2063,Rentals Received,0.41,0.14,0.36,-0.26999999999999996,0.22
2064,Interest,0.07,0.04,0.5,-0.030000000000000006,0.45
2065,Pension,3.67,3.68,1.24,0.010000000000000231,-2.44
2066,Dividends,0.14,0.06,0.02,-0.08000000000000002,-0.04
2067,"Other Source of Income, NEC",0.06,0.23,0.35,0.17,0.12
2068,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.73,1.39,0.39,0.6599999999999999,-0.99
2069,Net Receipt from Family Sustenance Activities,2.83,3.7,1.67,0.8700000000000001,-2.03
2070,Received as Gifts,4.63,5.4,2.6,0.7700000000000005,-2.8
2071,Imputed Rent,5.6,5.72,7.01,0.1200000000000001,1.29
2072,,,,,,
2073,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,,,,,
2074,Share to Family Income,100,100.0,100,,
2075,Wage/Salaries,26.71,30.9,25.87,4.189999999999998,-5.02
2076,Entrepreneurial Activities,52.12,44.86,52.33,-7.259999999999998,7.47
2077,Cash Receipts from Abroad,5.19,4.08,4.08,-1.1100000000000003,0
2078,Cash Receipts from Domestic Sources,4.71,5.34,4.74,0.6299999999999999,-0.6
2079,Rentals Received,0.07,0.25,0.3,0.18,0.05
2080,Interest,0,0.03,0.02,0.03,-0.01
2081,Pension,0.61,0.72,0.55,0.10999999999999999,-0.17
2082,Dividends,0.14,0.03,0.1,-0.11000000000000001,0.06
2083,"Other Source of Income, NEC",0.27,0.19,0.31,-0.08000000000000002,0.12
2084,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.97,1.68,1.29,0.71,-0.4
2085,Net Receipt from Family Sustenance Activities,1.98,1.84,1.34,-0.1399999999999999,-0.49
2086,Received as Gifts,1.56,3.44,2.33,1.88,-1.11
2087,Imputed Rent,5.66,6.65,6.74,0.9900000000000002,0.09
2088,,,,,,
2089,Basilan,,,,,
2090,Share to Family Income,100,100.0,100,,
2091,Wage/Salaries,43.6,39.3,43.41,-4.300000000000004,4.11
2092,Entrepreneurial Activities,31.74,30.15,32.58,-1.5899999999999999,2.42
2093,Cash Receipts from Abroad,9.77,8.53,7.85,-1.2400000000000002,-0.68
2094,Cash Receipts from Domestic Sources,5.59,5.07,5.74,-0.5199999999999996,0.67
2095,Rentals Received,0.02,0.96,0.19,0.94,-0.77
2096,Interest,0,0.01,0.02,0.01,0.02
2097,Pension,0.83,1.55,0.88,0.7200000000000001,-0.67
2098,Dividends,0,0.0,0.03,0,0.02
2099,"Other Source of Income, NEC",0.1,0.21,0.06,0.10999999999999999,-0.15
2100,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.43,0.23,0.37,-0.19999999999999998,0.14
2101,Net Receipt from Family Sustenance Activities,2.04,2.63,0.77,0.5899999999999999,-1.86
2102,Received as Gifts,1.28,3.32,1.46,2.04,-1.86
2103,Imputed Rent,4.6,8.03,6.63,3.4299999999999997,-1.39
2104,,,,,,
2105,Lanao Del Sur,,,,,
2106,Share to Family Income,100,100.0,100,,
2107,Wage/Salaries,23.24,23.18,27.85,-0.05999999999999872,4.67
2108,Entrepreneurial Activities,54.37,46.64,45.82,-7.729999999999997,-0.82
2109,Cash Receipts from Abroad,1.17,1.64,1.52,0.47,-0.12
2110,Cash Receipts from Domestic Sources,7.6,9.63,7.62,2.030000000000001,-2.01
2111,Rentals Received,0.14,0.43,0.84,0.29,0.41
2112,Interest,0,0.01,0.01,0.01,0.01
2113,Pension,0.73,0.56,0.62,-0.16999999999999993,0.06
2114,Dividends,0,0.07,0.09,0.07,0.02
2115,"Other Source of Income, NEC",0.06,0.11,0.06,0.05,-0.05
2116,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.57,3.83,2.43,3.2600000000000002,-1.4
2117,Net Receipt from Family Sustenance Activities,2.63,1.82,0.98,-0.8099999999999998,-0.84
2118,Received as Gifts,3.43,6.37,5.67,2.94,-0.7
2119,Imputed Rent,6.06,5.7,6.48,-0.35999999999999943,0.78
2120,,,,,,
2121,Maguindanao,,,,,
2122,Share to Family Income,100,100.0,100,,
2123,Wage/Salaries,29.54,30.72,25.76,1.1799999999999997,-4.959999999999997
2124,Entrepreneurial Activities,41.35,46.49,54.33,5.140000000000001,7.839999999999996
2125,Cash Receipts from Abroad,11.04,7.13,4.45,-3.9099999999999993,-2.6799999999999997
2126,Cash Receipts from Domestic Sources,5.49,3.25,4.48,-2.24,1.2300000000000004
2127,Rentals Received,0.03,0.0,0.01,-0.03,0.01
2128,Interest,0,0.01,0.01,0.01,0
2129,Pension,0.29,0.36,0.33,0.07,-0.02999999999999997
2130,Dividends,0,0.01,0.11,0.01,0.1
2131,"Other Source of Income, NEC",0.09,0.05,0.06,-0.039999999999999994,0.009999999999999995
2132,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",2.21,0.74,0.96,-1.47,0.21999999999999997
2133,Net Receipt from Family Sustenance Activities,2.29,2.04,0.54,-0.25,-1.5
2134,Received as Gifts,1.46,1.48,1.28,0.020000000000000018,-0.19999999999999996
2135,Imputed Rent,6.21,7.71,7.68,1.5,-0.03000000000000025
2136,,,,,,
2137,Maguindanao del Sur,,,,,
2138,Share to Family Income,,,100,,
2139,Wage/Salaries,,,22.82,,
2140,Entrepreneurial Activities,,,57.78,,
2141,Cash Receipts from Abroad,,,4.02,,
2142,Cash Receipts from Domestic Sources,,,4.8,,
2143,Rentals Received,,,0.01,,
2144,Interest,,,0.01,,
2145,Pension,,,0.38,,
2146,Dividends,,,0.09,,
2147,"Other Source of Income, NEC",,,0.06,,
2148,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",,,1.31,,
2149,Net Receipt from Family Sustenance Activities,,,0.59,,
2150,Received as Gifts,,,1.4,,
2151,Imputed Rent,,,6.72,,
2152,,,,,,
2153,Maguindanao del Norte,,,,,
2154,Share to Family Income,,,100,,
2155,Wage/Salaries,,,28.85,,
2156,Entrepreneurial Activities,,,50.71,,
2157,Cash Receipts from Abroad,,,4.89,,
2158,Cash Receipts from Domestic Sources,,,4.15,,
2159,Rentals Received,,,0.01,,
2160,Interest,,,0,,
2161,Pension,,,0.29,,
2162,Dividends,,,0.12,,
2163,"Other Source of Income, NEC",,,0.06,,
2164,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",,,0.59,,
2165,Net Receipt from Family Sustenance Activities,,,0.48,,
2166,Received as Gifts,,,1.15,,
2167,Imputed Rent,,,8.68,,
2168,,,,,,
2169,Sulu,,,,,
2170,Share to Family Income,100,100.0,100,,
2171,Wage/Salaries,6.82,31.48,13.91,24.66,-17.57
2172,Entrepreneurial Activities,84.76,49.1,74.69,-35.660000000000004,25.59
2173,Cash Receipts from Abroad,0.67,2.4,2.5,1.73,0.09
2174,Cash Receipts from Domestic Sources,1.08,3.82,1.51,2.7399999999999998,-2.31
2175,Rentals Received,0,0.0,0.16,0,0.16
2176,Interest,0,0.0,0.02,0,0.02
2177,Pension,0,0.71,0.03,0.71,-0.68
2178,Dividends,0,0.02,0.05,0.02,0.03
2179,"Other Source of Income, NEC",0,0.52,1.19,0.52,0.67
2180,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0,1.1,0.83,1.1,-0.27
2181,Net Receipt from Family Sustenance Activities,2.27,2.2,0.81,-0.06999999999999984,-1.39
2182,Received as Gifts,0.17,2.87,0.82,2.7,-2.05
2183,Imputed Rent,4.23,5.78,3.49,1.5499999999999998,-2.3
2184,,,,,,
2185,Tawi-Tawi,,,,,
2186,Share to Family Income,100,100.0,100,,
2187,Wage/Salaries,23.83,30.89,24.78,7.060000000000002,-6.11
2188,Entrepreneurial Activities,65,56.17,49.54,-8.829999999999998,-6.63
2189,Cash Receipts from Abroad,1.34,1.84,3.76,0.5,1.92
2190,Cash Receipts from Domestic Sources,2.05,1.09,0.8,-0.9599999999999997,-0.29
2191,Rentals Received,0.02,0.2,0.03,0.18000000000000002,-0.17
2192,Interest,0,0.03,0.01,0.03,-0.01
2193,Pension,0.66,0.64,0.19,-0.020000000000000018,-0.45
2194,Dividends,0.35,0.0,0.01,-0.35,0.01
2195,"Other Source of Income, NEC",0.65,0.24,0.11,-0.41000000000000003,-0.13
2196,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.02,0.84,1.66,0.82,0.82
2197,Net Receipt from Family Sustenance Activities,1.05,1.39,6.57,0.33999999999999986,5.18
2198,Received as Gifts,0.61,1.71,0.26,1.1,-1.45
2199,Imputed Rent,4.41,4.96,12.27,0.5499999999999998,7.31
2200,,,,,,
2201,Cotabato City,,,,,
2202,Share to Family Income,100,100.0,100,,
2203,Wage/Salaries,48.32,48.0,44.4,-0.3200000000000003,-3.6
2204,Entrepreneurial Activities,27.32,27.91,32.85,0.5899999999999999,4.94
2205,Cash Receipts from Abroad,6.2,5.67,5.19,-0.5300000000000002,-0.48
2206,Cash Receipts from Domestic Sources,3.85,4.27,4.36,0.4199999999999995,0.09
2207,Rentals Received,0.26,0.22,0.1,-0.04000000000000001,-0.11
2208,Interest,0.01,0.2,0.02,0.19,-0.18
2209,Pension,1.93,1.62,2.61,-0.30999999999999983,0.99
2210,Dividends,0.87,0.04,0.44,-0.83,0.4
2211,"Other Source of Income, NEC",1.29,0.14,0.06,-1.15,-0.07
2212,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.34,0.34,0.22,-1,-0.12
2213,Net Receipt from Family Sustenance Activities,0.24,0.54,0.19,0.30000000000000004,-0.34
2214,Received as Gifts,0.98,2.04,1.02,1.06,-1.02
2215,Imputed Rent,7.4,9.02,8.53,1.6199999999999992,-0.49
2216,"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",,,,,
2217,,,,,,
2218,Notes:,,,,,
2219,p - Estimates are preliminary and may change,,,,,
2220,"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",,,,,
2221,"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",,,,,
2222,Details may not add up to total due to rounding.,,,,,
