,"Table 7. Share to Total Family Expenditure, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2047,Insurance and Financial Services,0,2.91,2.19,2.91,-0.72
2048,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.18,4.62,3.67,-2.56,-0.95
2049,Durable Furniture and Equipment,3.65,1.94,2.63,-1.71,0.69
2050,Special Family Occasion,4.45,2.41,3.87,-2.04,1.46
2051,Other Expenditures,1.61,1.55,2.09,-0.06,0.54
2052,,,,,,
2053,Southern Leyte,,,,,
2054,Share to Family Expenditure,100,100.0,100,,
2055,Food and Non-Alcoholic Beverages,46.48,46.78,48.68,0.3,1.9
2056,    Food Consumed at Home,40.83,44.26,47.3,3.42,3.05
2057,    Food Regularly Consumed Outside the Home,5.65,2.51,1.32,-3.14,-1.19
2058,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.05,0.01,0.04
2059,Alcoholic Beverages and Tobacco,1.18,1.3,1.88,0.12,0.57
2060,Clothing and Footwear,2.83,1.56,1.88,-1.27,0.32
2061,"Housing, Water, Electricity, Gas and Other Fuels",16.19,18.61,17.89,2.41,-0.72
2062,Furnishings and Routine Household Maintenance,2.68,2.05,2.78,-0.63,0.73
2063,Health,3.78,3.46,2.14,-0.32,-1.32
2064,Transport,5.01,5.25,4.91,0.23,-0.34
2065,Information and Communication,1.5,2.87,2.31,1.37,-0.56
2066,"Recreation, Sport and Culture",1.19,0.19,0.71,-1,0.52
2067,Education,2.16,1.03,3.39,-1.13,2.36
2068,Hotels (Accommodation Services),0.28,0.04,0.08,-0.24,0.04
2069,Insurance and Financial Services,0,2.48,1.94,2.48,-0.54
2070,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.53,4.49,4.53,-2.04,0.04
2071,Durable Furniture and Equipment,3.87,3.16,1.46,-0.71,-1.69
2072,Special Family Occasion,4.93,3.0,3.93,-1.92,0.92
2073,Other Expenditures,1.39,3.73,1.48,2.34,-2.24
2074,,,,,,
2075,Biliran,,,,,
2076,Share to Family Expenditure,100,100.0,100,,
2077,Food and Non-Alcoholic Beverages,43.45,43.35,43.16,-0.1,-0.19
2078,    Food Consumed at Home,39.49,41.6,39.48,2.11,-2.12
2079,    Food Regularly Consumed Outside the Home,3.96,1.74,3.66,-2.22,1.92
2080,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
2081,Alcoholic Beverages and Tobacco,1.84,1.91,1.4,0.08,-0.51
2082,Clothing and Footwear,3.15,2.28,1.88,-0.86,-0.41
2083,"Housing, Water, Electricity, Gas and Other Fuels",14.67,18.89,18.96,4.22,0.08
2084,Furnishings and Routine Household Maintenance,3,2.86,2.67,-0.14,-0.19
2085,Health,3.02,4.04,4.25,1.02,0.22
2086,Transport,5.4,5.2,6.11,-0.2,0.9
2087,Information and Communication,1.35,2.95,2.72,1.6,-0.23
2088,"Recreation, Sport and Culture",1.49,0.55,0.72,-0.94,0.17
2089,Education,1.47,0.57,2.1,-0.9,1.53
2090,Hotels (Accommodation Services),0.4,0.02,0.32,-0.38,0.31
2091,Insurance and Financial Services,0,3.67,2.68,3.67,-0.99
2092,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.49,4.38,3.67,-2.12,-0.71
2093,Durable Furniture and Equipment,6.27,3.68,3.71,-2.59,0.02
2094,Special Family Occasion,4.88,3.26,3.67,-1.62,0.41
2095,Other Expenditures,3.12,2.38,1.98,-0.73,-0.4
2096,,,,,,
2097,REGION IX - ZAMBOANGA PENINSULA,,,,,
2098,Share to Family Expenditure,100,100.0,100,,
2099,Food and Non-Alcoholic Beverages,49.65,47.58,45.65,-2.07,-1.93
2100,    Food Consumed at Home,44.94,46.33,42.72,1.39,-3.6
2101,    Food Regularly Consumed Outside the Home,4.71,1.25,2.92,-3.46,1.67
2102,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,0
2103,Alcoholic Beverages and Tobacco,1.76,1.45,1.21,-0.31,-0.24
2104,Clothing and Footwear,3.15,1.99,2.2,-1.16,0.21
2105,"Housing, Water, Electricity, Gas and Other Fuels",16.25,18.86,16.98,2.61,-1.88
2106,Furnishings and Routine Household Maintenance,2.03,1.95,2.92,-0.08,0.97
2107,Health,2.46,2.79,2.56,0.32,-0.23
2108,Transport,5.21,5.79,6.15,0.58,0.35
2109,Information and Communication,1.48,2.83,2.62,1.35,-0.21
2110,"Recreation, Sport and Culture",0.69,0.44,0.91,-0.25,0.47
2111,Education,2.17,1.08,3.08,-1.08,1.99
2112,Hotels (Accommodation Services),0.1,0.02,0.11,-0.08,0.09
2113,Insurance and Financial Services,0,2.67,2.53,2.67,-0.14
2114,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.62,5.11,4.1,-1.51,-1.01
2115,Durable Furniture and Equipment,3.63,2.94,3.01,-0.69,0.07
2116,Special Family Occasion,3.2,2.98,3.79,-0.21,0.8
2117,Other Expenditures,1.61,1.51,2.18,-0.1,0.67
2118,,,,,,
2119,Zamboanga Del Norte,,,,,
2120,Share to Family Expenditure,100,100.0,100,,
2121,Food and Non-Alcoholic Beverages,48.01,45.42,49.17,-2.58,3.74
2122,    Food Consumed at Home,44.58,44.37,46.71,-0.21,2.34
2123,    Food Regularly Consumed Outside the Home,3.43,1.05,2.46,-2.38,1.4
2124,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,0
2125,Alcoholic Beverages and Tobacco,1.86,1.48,1.4,-0.38,-0.08
2126,Clothing and Footwear,3.43,2.2,2.01,-1.23,-0.19
2127,"Housing, Water, Electricity, Gas and Other Fuels",16.1,18.84,15.84,2.74,-2.99
2128,Furnishings and Routine Household Maintenance,1.97,1.92,2.86,-0.04,0.93
2129,Health,2.44,3.58,2.35,1.14,-1.23
2130,Transport,5.67,6.33,6.06,0.66,-0.27
2131,Information and Communication,1.21,2.78,2.41,1.57,-0.37
2132,"Recreation, Sport and Culture",0.75,0.46,0.96,-0.29,0.5
2133,Education,2.28,0.88,2.55,-1.4,1.67
2134,Hotels (Accommodation Services),0.15,0.04,0.07,-0.11,0.03
2135,Insurance and Financial Services,0,3.51,2.55,3.51,-0.96
2136,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.38,4.65,3.84,-1.73,-0.81
2137,Durable Furniture and Equipment,4.64,3.22,2.74,-1.41,-0.49
2138,Special Family Occasion,3.53,3.1,3.73,-0.43,0.63
2139,Other Expenditures,1.58,1.58,1.45,-0.01,-0.13
2140,,,,,,
2141,Zamboanga Del Sur (Excluding City of Zamboanga),,,,,
2142,Share to Family Expenditure,100,100.0,100,,
2143,Food and Non-Alcoholic Beverages,55,47.89,43.2,-7.1,-4.69
2144,    Food Consumed at Home,50.78,46.95,41.31,-3.83,-5.65
2145,    Food Regularly Consumed Outside the Home,4.22,0.92,1.89,-3.3,0.97
2146,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.01,0.02,-0.01
2147,Alcoholic Beverages and Tobacco,1.69,1.59,1.42,-0.11,-0.17
2148,Clothing and Footwear,3.12,2.08,2.33,-1.04,0.25
2149,"Housing, Water, Electricity, Gas and Other Fuels",12.78,16.59,17.71,3.81,1.11
2150,Furnishings and Routine Household Maintenance,2.17,2.24,2.62,0.07,0.37
2151,Health,2.1,2.77,2.79,0.67,0.02
2152,Transport,4.11,5.93,6.52,1.82,0.59
2153,Information and Communication,1.17,2.64,2.47,1.47,-0.17
2154,"Recreation, Sport and Culture",0.6,0.53,0.96,-0.07,0.43
2155,Education,2.03,0.95,4.96,-1.08,4.02
2156,Hotels (Accommodation Services),0.09,0.01,0.13,-0.08,0.12
2157,Insurance and Financial Services,0,2.87,3.21,2.87,0.35
2158,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.32,5.22,4,-1.11,-1.21
2159,Durable Furniture and Equipment,3.16,3.52,2.56,0.36,-0.96
2160,Special Family Occasion,3.07,3.59,2.71,0.53,-0.89
2161,Other Expenditures,2.58,1.58,2.42,-1,0.84
2162,,,,,,
2163,City of Zamboanga,,,,,
2164,Share to Family Expenditure,100,100.0,100,,
2165,Food and Non-Alcoholic Beverages,47.67,50.98,46.35,3.31,-4.63
2166,    Food Consumed at Home,41.51,49.1,42.49,7.59,-6.62
2167,    Food Regularly Consumed Outside the Home,6.16,1.88,3.87,-4.28,1.99
2168,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2169,Alcoholic Beverages and Tobacco,1.7,1.2,1,-0.5,-0.21
2170,Clothing and Footwear,2.64,1.5,1.94,-1.14,0.44
2171,"Housing, Water, Electricity, Gas and Other Fuels",20.39,21.87,18.53,1.48,-3.34
2172,Furnishings and Routine Household Maintenance,1.81,1.5,3.32,-0.31,1.82
2173,Health,2.79,2.16,2.11,-0.63,-0.04
2174,Transport,5.66,5.01,6.33,-0.65,1.32
2175,Information and Communication,1.95,3.2,3.07,1.25,-0.13
2176,"Recreation, Sport and Culture",0.51,0.28,0.78,-0.23,0.49
2177,Education,2.09,1.32,1.9,-0.77,0.58
2178,Hotels (Accommodation Services),0.05,0.0,0.04,-0.05,0.04
2179,Insurance and Financial Services,0,1.56,2.1,1.56,0.54
2180,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.38,4.8,4.22,-1.58,-0.58
2181,Durable Furniture and Equipment,2.38,1.71,2.76,-0.67,1.05
2182,Special Family Occasion,2.81,1.78,3.68,-1.02,1.9
2183,Other Expenditures,1.18,1.14,1.87,-0.04,0.73
2184,,,,,,
2185,Zamboanga Sibugay,,,,,
2186,Share to Family Expenditure,100,100.0,100,,
2187,Food and Non-Alcoholic Beverages,49.46,44.29,41.81,-5.17,-2.48
2188,    Food Consumed at Home,44.96,43.16,38.61,-1.81,-4.54
2189,    Food Regularly Consumed Outside the Home,4.5,1.13,3.19,-3.37,2.07
2190,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
2191,Alcoholic Beverages and Tobacco,1.74,1.65,1.15,-0.09,-0.5
2192,Clothing and Footwear,3.82,2.37,2.68,-1.45,0.3
2193,"Housing, Water, Electricity, Gas and Other Fuels",13.22,17.18,15.41,3.96,-1.76
2194,Furnishings and Routine Household Maintenance,2.46,2.36,2.75,-0.1,0.39
2195,Health,2.53,2.7,3.4,0.17,0.7
2196,Transport,4.94,6.02,5.65,1.08,-0.37
2197,Information and Communication,1.27,2.62,2.42,1.34,-0.2
2198,"Recreation, Sport and Culture",1.09,0.58,0.92,-0.51,0.34
2199,Education,2.35,1.29,3.6,-1.06,2.31
2200,Hotels (Accommodation Services),0.1,0.03,0.24,-0.08,0.22
2201,Insurance and Financial Services,0,3.01,2.42,3.01,-0.59
2202,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.41,6.06,4.26,-1.35,-1.79
2203,Durable Furniture and Equipment,4.94,3.77,4.2,-1.17,0.43
2204,Special Family Occasion,3.42,4.07,5.48,0.65,1.41
2205,Other Expenditures,1.24,2.01,3.6,0.77,1.59
2206,,,,,,
2207,Isabela City,,,,,
2208,Share to Family Expenditure,100,100.0,100,,
2209,Food and Non-Alcoholic Beverages,45.38,51.41,49.27,6.03,-2.15
2210,    Food Consumed at Home,40.53,50.78,46.33,10.25,-4.46
2211,    Food Regularly Consumed Outside the Home,4.85,0.63,2.93,-4.22,2.31
2212,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2213,Alcoholic Beverages and Tobacco,2.14,1.1,0.76,-1.04,-0.34
2214,Clothing and Footwear,2.72,1.68,2.4,-1.04,0.72
2215,"Housing, Water, Electricity, Gas and Other Fuels",15.58,20.99,15.97,5.41,-5.02
2216,Furnishings and Routine Household Maintenance,1.53,1.34,2.75,-0.19,1.41
2217,Health,1.51,2.45,1.92,0.94,-0.53
2218,Transport,6.24,5.98,5.71,-0.26,-0.27
2219,Information and Communication,2.13,2.65,2.32,0.52,-0.34
2220,"Recreation, Sport and Culture",0.55,0.15,1.4,-0.4,1.25
2221,Education,2.03,0.53,3.05,-1.51,2.53
2222,Hotels (Accommodation Services),0.1,0.0,0.06,-0.1,0.06
2223,Insurance and Financial Services,0,1.91,2.52,1.91,0.61
2224,"Personal Care, Social Protection and Miscellaneous Goods and Services",9.3,5.61,4.71,-3.7,-0.9
2225,Durable Furniture and Equipment,5.14,2.05,3.53,-3.09,1.47
2226,Special Family Occasion,4.47,1.4,2.46,-3.07,1.06
2227,Other Expenditures,1.16,0.74,1.18,-0.42,0.43
2228,,,,,,
2229,REGION X - NORTHERN MINDANAO,,,,,
2230,Share to Family Expenditure,100,100.0,100,,
2231,Food and Non-Alcoholic Beverages,43.9,43.26,41.19,-0.64,-2.07
2232,    Food Consumed at Home,37.96,40.73,38.85,2.77,-1.88
2233,    Food Regularly Consumed Outside the Home,5.94,2.52,2.33,-3.42,-0.19
2234,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
2235,Alcoholic Beverages and Tobacco,1.51,1.52,1.3,0.01,-0.22
2236,Clothing and Footwear,2.93,1.77,1.9,-1.17,0.13
2237,"Housing, Water, Electricity, Gas and Other Fuels",19.3,21.82,21.01,2.52,-0.81
2238,Furnishings and Routine Household Maintenance,2.18,1.9,2.71,-0.28,0.81
2239,Health,2.68,2.9,2.83,0.23,-0.08
2240,Transport,6.6,6.39,7.26,-0.21,0.87
2241,Information and Communication,1.97,3.35,3.07,1.38,-0.28
2242,"Recreation, Sport and Culture",0.66,0.42,0.77,-0.24,0.36
2243,Education,2.63,1.55,3.94,-1.08,2.38
2244,Hotels (Accommodation Services),0.11,0.02,0.07,-0.09,0.06
2245,Insurance and Financial Services,0,3.28,2.6,3.28,-0.68
2246,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.27,4.27,3.51,-2,-0.75
2247,Durable Furniture and Equipment,3.52,2.78,2.69,-0.74,-0.08
2248,Special Family Occasion,4.02,3.11,3.6,-0.91,0.49
2249,Other Expenditures,1.72,1.67,1.53,-0.06,-0.14
2250,,,,,,
2251,Bukidnon,,,,,
2252,Share to Family Expenditure,100,100.0,100,,
2253,Food and Non-Alcoholic Beverages,45.99,45.55,42.96,-0.44,-2.59
2254,    Food Consumed at Home,40.5,44.15,41.15,3.65,-3
2255,    Food Regularly Consumed Outside the Home,5.49,1.38,1.8,-4.11,0.42
2256,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
2257,Alcoholic Beverages and Tobacco,1.4,1.51,1.46,0.11,-0.05
2258,Clothing and Footwear,3.73,2.06,2.18,-1.67,0.12
2259,"Housing, Water, Electricity, Gas and Other Fuels",16.84,19.56,19.29,2.73,-0.27
2260,Furnishings and Routine Household Maintenance,2.38,1.92,2.48,-0.46,0.57
2261,Health,3.23,2.41,2.52,-0.82,0.1
2262,Transport,6.28,7.01,7.07,0.73,0.06
2263,Information and Communication,1.58,3.23,2.96,1.65,-0.27
2264,"Recreation, Sport and Culture",0.72,0.48,0.59,-0.24,0.11
2265,Education,1.94,1.49,3.18,-0.45,1.69
2266,Hotels (Accommodation Services),0.3,0.04,0.04,-0.26,0
2267,Insurance and Financial Services,0,3.33,2.36,3.33,-0.97
2268,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.31,4.4,3.72,-1.92,-0.67
2269,Durable Furniture and Equipment,4.7,2.99,5.12,-1.71,2.13
2270,Special Family Occasion,3.45,2.68,3.08,-0.78,0.4
2271,Other Expenditures,1.15,1.35,1,0.2,-0.35
2272,,,,,,
2273,Camiguin,,,,,
2274,Share to Family Expenditure,100,100.0,100,,
2275,Food and Non-Alcoholic Beverages,40.5,40.42,40.5,-0.07,0.08
2276,    Food Consumed at Home,36.44,39.07,38.28,2.63,-0.79
2277,    Food Regularly Consumed Outside the Home,4.06,1.35,2.22,-2.71,0.87
2278,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2279,Alcoholic Beverages and Tobacco,1.82,1.54,1.34,-0.29,-0.2
2280,Clothing and Footwear,3.28,2.16,2.5,-1.12,0.33
2281,"Housing, Water, Electricity, Gas and Other Fuels",19.55,21.22,19.84,1.67,-1.38
2282,Furnishings and Routine Household Maintenance,2.35,2.75,3.28,0.4,0.53
2283,Health,3.16,4.46,3.47,1.3,-0.99
2284,Transport,5.56,5.6,6.91,0.04,1.32
2285,Information and Communication,1.21,3.39,2.93,2.18,-0.47
2286,"Recreation, Sport and Culture",0.91,0.5,0.89,-0.4,0.38
2287,Education,1.94,1.4,3.19,-0.54,1.78
2288,Hotels (Accommodation Services),0.03,0.0,0.02,-0.02,0.02
2289,Insurance and Financial Services,0,3.05,2.82,3.05,-0.23
2290,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.88,4.99,3.93,-1.89,-1.06
2291,Durable Furniture and Equipment,4.7,3.92,3.78,-0.78,-0.14
2292,Special Family Occasion,5.96,2.57,3.03,-3.39,0.46
2293,Other Expenditures,2.15,2.02,1.57,-0.14,-0.44
2294,,,,,,
2295,Lanao Del Norte (Excluding City of Iligan),,,,,
2296,Share to Family Expenditure,100,100.0,100,,
2297,Food and Non-Alcoholic Beverages,54.9,50.71,46.6,-4.19,-4.1
2298,    Food Consumed at Home,49.36,49.18,44.03,-0.18,-5.15
2299,    Food Regularly Consumed Outside the Home,5.54,1.52,2.57,-4.01,1.04
2300,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2301,Alcoholic Beverages and Tobacco,1.6,1.92,1.39,0.32,-0.53
2302,Clothing and Footwear,3.12,2.02,2.16,-1.1,0.14
2303,"Housing, Water, Electricity, Gas and Other Fuels",16.21,20.61,17.12,4.4,-3.49
2304,Furnishings and Routine Household Maintenance,1.79,1.61,2.57,-0.19,0.96
2305,Health,1.78,2.16,2.68,0.38,0.52
2306,Transport,5.5,5.94,6.49,0.44,0.55
2307,Information and Communication,1.51,2.76,2.51,1.24,-0.25
2308,"Recreation, Sport and Culture",0.57,0.2,0.75,-0.37,0.55
2309,Education,2.07,0.83,4.76,-1.24,3.93
2310,Hotels (Accommodation Services),0.02,0.0,0.08,-0.02,0.07
2311,Insurance and Financial Services,0,1.83,2.09,1.83,0.26
2312,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.61,5.25,4.21,-0.36,-1.04
2313,Durable Furniture and Equipment,1.58,1.34,1.68,-0.24,0.35
2314,Special Family Occasion,2.71,2.12,3.48,-0.59,1.36
2315,Other Expenditures,1,0.71,1.43,-0.3,0.72
2316,,,,,,
2317,City of Iligan,,,,,
2318,Share to Family Expenditure,100,100.0,100,,
2319,Food and Non-Alcoholic Beverages,44.51,43.18,38.02,-1.33,-5.16
2320,    Food Consumed at Home,37.6,38.98,34.46,1.38,-4.51
2321,    Food Regularly Consumed Outside the Home,6.91,4.2,3.55,-2.71,-0.65
2322,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2323,Alcoholic Beverages and Tobacco,1.19,1.52,1.15,0.33,-0.37
2324,Clothing and Footwear,3.1,1.8,1.77,-1.3,-0.03
2325,"Housing, Water, Electricity, Gas and Other Fuels",20.75,24.65,25.17,3.9,0.52
2326,Furnishings and Routine Household Maintenance,2.06,1.61,2.46,-0.45,0.85
2327,Health,2.81,2.59,2.98,-0.22,0.38
2328,Transport,6.6,6.15,8.37,-0.45,2.22
2329,Information and Communication,2.67,3.88,3.67,1.21,-0.21
2330,"Recreation, Sport and Culture",0.64,0.27,0.94,-0.38,0.68
2331,Education,2.45,1.11,3.49,-1.34,2.38
2332,Hotels (Accommodation Services),0.03,0.01,0.05,-0.01,0.03
2333,Insurance and Financial Services,0,3.51,2.91,3.51,-0.6
2334,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.48,3.53,3.32,-2.95,-0.21
2335,Durable Furniture and Equipment,2.41,2.34,1.09,-0.07,-1.25
2336,Special Family Occasion,3,2.53,2.66,-0.46,0.13
2337,Other Expenditures,1.29,1.31,1.95,0.02,0.64
2338,,,,,,
2339,Misamis Occidental,,,,,
2340,Share to Family Expenditure,100,100.0,100,,
2341,Food and Non-Alcoholic Beverages,45.58,45.96,40.45,0.38,-5.51
2342,    Food Consumed at Home,42.03,42.49,37.5,0.46,-4.99
2343,    Food Regularly Consumed Outside the Home,3.55,3.47,2.93,-0.08,-0.54
2344,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.02,0,0.02
2345,Alcoholic Beverages and Tobacco,1.23,1.33,1.2,0.09,-0.13
2346,Clothing and Footwear,2.81,1.81,1.71,-1,-0.11
2347,"Housing, Water, Electricity, Gas and Other Fuels",16.4,16.96,16.95,0.56,-0.01
2348,Furnishings and Routine Household Maintenance,2.33,1.88,3.06,-0.45,1.18
2349,Health,2.35,3.49,3.44,1.14,-0.05
2350,Transport,5.98,5.8,6.58,-0.18,0.78
2351,Information and Communication,1.66,2.99,2.47,1.33,-0.52
2352,"Recreation, Sport and Culture",0.73,0.53,0.77,-0.2,0.24
2353,Education,3.44,1.56,4.87,-1.87,3.31
2354,Hotels (Accommodation Services),0.07,0.0,0.23,-0.07,0.23
2355,Insurance and Financial Services,0,2.18,3.06,2.18,0.88
2356,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.07,4.45,3.23,-1.62,-1.21
2357,Durable Furniture and Equipment,5.32,4.54,4.55,-0.78,0
2358,Special Family Occasion,4.17,4.87,5.3,0.69,0.43
2359,Other Expenditures,1.85,1.66,2.14,-0.19,0.48
2360,,,,,,
2361,Misamis Oriental (Excluding City of Cagayan De Oro),,,,,
2362,Share to Family Expenditure,100,100.0,100,,
2363,Food and Non-Alcoholic Beverages,43.23,42.54,42.65,-0.7,0.11
2364,    Food Consumed at Home,37.24,40.71,40.9,3.47,0.19
2365,    Food Regularly Consumed Outside the Home,5.99,1.82,1.74,-4.17,-0.08
2366,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2367,Alcoholic Beverages and Tobacco,1.87,1.87,1.48,0,-0.39
2368,Clothing and Footwear,2.44,1.63,1.78,-0.81,0.15
2369,"Housing, Water, Electricity, Gas and Other Fuels",19.41,19.95,20.75,0.54,0.8
2370,Furnishings and Routine Household Maintenance,1.98,1.93,2.73,-0.05,0.8
2371,Health,2.27,3.58,2.86,1.31,-0.72
2372,Transport,7,6.25,6.99,-0.75,0.73
2373,Information and Communication,1.77,3.02,3.1,1.25,0.08
2374,"Recreation, Sport and Culture",0.47,0.41,0.86,-0.06,0.45
2375,Education,2.07,1.45,3.73,-0.62,2.28
2376,Hotels (Accommodation Services),0.11,0.01,0.03,-0.1,0.02
2377,Insurance and Financial Services,0,3.93,2.14,3.93,-1.8
2378,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.54,4.82,3.51,-1.72,-1.32
2379,Durable Furniture and Equipment,3.3,3.1,1.56,-0.2,-1.54
2380,Special Family Occasion,5.48,3.66,4.3,-1.82,0.64
2381,Other Expenditures,2.05,1.84,1.54,-0.21,-0.3
2382,,,,,,
2383,City of Cagayan De Oro,,,,,
2384,Share to Family Expenditure,100,100.0,100,,
2385,Food and Non-Alcoholic Beverages,36.92,37.12,37.04,0.21,-0.09
2386,    Food Consumed at Home,29.36,33.51,34.71,4.14,1.2
2387,    Food Regularly Consumed Outside the Home,7.55,3.61,2.31,-3.95,-1.3
2388,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.02,0.01,0.01
2389,Alcoholic Beverages and Tobacco,1.54,1.23,1.08,-0.31,-0.15
2390,Clothing and Footwear,2.43,1.39,1.7,-1.04,0.31
2391,"Housing, Water, Electricity, Gas and Other Fuels",23.88,28.24,26.15,4.37,-2.09
2392,Furnishings and Routine Household Maintenance,2.27,2.01,2.84,-0.27,0.83
2393,Health,2.91,2.8,2.68,-0.12,-0.12
2394,Transport,7.46,6.52,8.14,-0.94,1.61
2395,Information and Communication,2.68,4.01,3.63,1.33,-0.39
2396,"Recreation, Sport and Culture",0.72,0.42,0.81,-0.31,0.4
2397,Education,3.68,2.14,4.05,-1.54,1.91
2398,Hotels (Accommodation Services),0.02,0.02,0.06,0,0.04
2399,Insurance and Financial Services,0,3.9,3.07,3.9,-0.82
2400,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.27,3.4,3.15,-2.87,-0.25
2401,Durable Furniture and Equipment,2.73,1.81,1.18,-0.92,-0.63
2402,Special Family Occasion,4.12,2.67,2.92,-1.45,0.25
2403,Other Expenditures,2.39,2.33,1.5,-0.05,-0.84
2404,,,,,,
2405,REGION XI - DAVAO REGION,,,,,
2406,Share to Family Expenditure,100,100.0,100,,
2407,Food and Non-Alcoholic Beverages,46.05,41.44,39.73,-4.62,-1.71
2408,    Food Consumed at Home,38.64,39.39,36.69,0.75,-2.7
2409,    Food Regularly Consumed Outside the Home,7.41,2.04,3.04,-5.37,1
2410,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2411,Alcoholic Beverages and Tobacco,1.91,1.51,1.32,-0.4,-0.19
2412,Clothing and Footwear,2.61,1.71,2.07,-0.91,0.36
2413,"Housing, Water, Electricity, Gas and Other Fuels",19.41,25.0,22.96,5.59,-2.04
2414,Furnishings and Routine Household Maintenance,1.95,1.61,2.5,-0.34,0.89
2415,Health,2.19,2.81,2.51,0.62,-0.3
2416,Transport,6.4,6.09,7.34,-0.31,1.26
2417,Information and Communication,1.66,3.16,2.93,1.49,-0.22
2418,"Recreation, Sport and Culture",0.64,0.39,0.79,-0.25,0.41
2419,Education,2.44,1.73,3.48,-0.7,1.75
2420,Hotels (Accommodation Services),0.08,0.03,0.11,-0.05,0.08
2421,Insurance and Financial Services,0,3.3,2.93,3.3,-0.37
2422,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.3,4.48,3.76,-1.83,-0.72
2423,Durable Furniture and Equipment,3.81,2.35,2.86,-1.46,0.51
2424,Special Family Occasion,3.2,2.97,2.98,-0.23,0.01
2425,Other Expenditures,1.33,1.43,1.73,0.1,0.3
2426,,,,,,
2427,Davao Del Norte,,,,,
2428,Share to Family Expenditure,100,100.0,100,,
2429,Food and Non-Alcoholic Beverages,48.6,44.01,44.93,-4.59,0.92
2430,    Food Consumed at Home,42.67,40.89,39.49,-1.78,-1.4
2431,    Food Regularly Consumed Outside the Home,5.93,3.12,5.44,-2.81,2.32
2432,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,0
2433,Alcoholic Beverages and Tobacco,1.61,1.31,1.19,-0.3,-0.12
2434,Clothing and Footwear,2.47,1.92,1.86,-0.55,-0.06
2435,"Housing, Water, Electricity, Gas and Other Fuels",17.92,24.47,20.32,6.55,-4.15
2436,Furnishings and Routine Household Maintenance,1.77,1.51,2.36,-0.26,0.85
2437,Health,2.33,2.38,1.95,0.05,-0.43
2438,Transport,6.3,6.07,6.54,-0.23,0.47
2439,Information and Communication,1.51,2.59,2.75,1.08,0.16
2440,"Recreation, Sport and Culture",0.55,0.61,0.94,0.06,0.33
2441,Education,1.9,1.18,1.86,-0.72,0.68
2442,Hotels (Accommodation Services),0.1,0.0,0.03,-0.1,0.03
2443,Insurance and Financial Services,0,2.62,3.12,2.62,0.5
2444,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.28,4.14,3.45,-2.14,-0.7
2445,Durable Furniture and Equipment,4.73,1.88,1.51,-2.85,-0.37
2446,Special Family Occasion,3.11,3.89,4.33,0.78,0.45
2447,Other Expenditures,0.81,1.4,2.84,0.59,1.45
2448,,,,,,
2449,Davao Del Sur (Excluding City of Davao),,,,,
