region_province_huc_by_expenditure_group,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
"Housing, Water, Electricity, Gas And Other Fuels",12.78,16.59,17.71,3.81,1.11
Furnishings And Routine Household Maintenance,2.17,2.24,2.62,0.07,0.37
Health,2.1,2.77,2.79,0.67,0.02
Transport,4.11,5.93,6.52,1.82,0.59
Information And Communication,1.17,2.64,2.47,1.47,-0.17
"Recreation, Sport And Culture",0.6,0.53,0.96,-0.07,0.43
Education,2.03,0.95,4.96,-1.08,4.02
Hotels (accommodation Services),0.09,0.01,0.13,-0.08,0.12
Insurance And Financial Services,0.0,2.87,3.21,2.87,0.35
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.32,5.22,4.0,-1.11,-1.21
Durable Furniture And Equipment,3.16,3.52,2.56,0.36,-0.96
Special Family Occasion,3.07,3.59,2.71,0.53,-0.89
Other Expenditures,2.58,1.58,2.42,-1.0,0.84
City Of Zamboanga,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.67,50.98,46.35,3.31,-4.63
Food Consumed At Home,41.51,49.1,42.49,7.59,-6.62
Food Regularly Consumed Outside The Home,6.16,1.88,3.87,-4.28,1.99
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.7,1.2,1.0,-0.5,-0.21
Clothing And Footwear,2.64,1.5,1.94,-1.14,0.44
"Housing, Water, Electricity, Gas And Other Fuels",20.39,21.87,18.53,1.48,-3.34
Furnishings And Routine Household Maintenance,1.81,1.5,3.32,-0.31,1.82
Health,2.79,2.16,2.11,-0.63,-0.04
Transport,5.66,5.01,6.33,-0.65,1.32
Information And Communication,1.95,3.2,3.07,1.25,-0.13
"Recreation, Sport And Culture",0.51,0.28,0.78,-0.23,0.49
Education,2.09,1.32,1.9,-0.77,0.58
Hotels (accommodation Services),0.05,0.0,0.04,-0.05,0.04
Insurance And Financial Services,0.0,1.56,2.1,1.56,0.54
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.38,4.8,4.22,-1.58,-0.58
Durable Furniture And Equipment,2.38,1.71,2.76,-0.67,1.05
Special Family Occasion,2.81,1.78,3.68,-1.02,1.9
Other Expenditures,1.18,1.14,1.87,-0.04,0.73
Zamboanga Sibugay,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,49.46,44.29,41.81,-5.17,-2.48
Food Consumed At Home,44.96,43.16,38.61,-1.81,-4.54
Food Regularly Consumed Outside The Home,4.5,1.13,3.19,-3.37,2.07
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,1.74,1.65,1.15,-0.09,-0.5
Clothing And Footwear,3.82,2.37,2.68,-1.45,0.3
"Housing, Water, Electricity, Gas And Other Fuels",13.22,17.18,15.41,3.96,-1.76
Furnishings And Routine Household Maintenance,2.46,2.36,2.75,-0.1,0.39
Health,2.53,2.7,3.4,0.17,0.7
Transport,4.94,6.02,5.65,1.08,-0.37
Information And Communication,1.27,2.62,2.42,1.34,-0.2
"Recreation, Sport And Culture",1.09,0.58,0.92,-0.51,0.34
Education,2.35,1.29,3.6,-1.06,2.31
Hotels (accommodation Services),0.1,0.03,0.24,-0.08,0.22
Insurance And Financial Services,0.0,3.01,2.42,3.01,-0.59
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.41,6.06,4.26,-1.35,-1.79
Durable Furniture And Equipment,4.94,3.77,4.2,-1.17,0.43
Special Family Occasion,3.42,4.07,5.48,0.65,1.41
Other Expenditures,1.24,2.01,3.6,0.77,1.59
Isabela City,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.38,51.41,49.27,6.03,-2.15
Food Consumed At Home,40.53,50.78,46.33,10.25,-4.46
Food Regularly Consumed Outside The Home,4.85,0.63,2.93,-4.22,2.31
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.14,1.1,0.76,-1.04,-0.34
Clothing And Footwear,2.72,1.68,2.4,-1.04,0.72
"Housing, Water, Electricity, Gas And Other Fuels",15.58,20.99,15.97,5.41,-5.02
Furnishings And Routine Household Maintenance,1.53,1.34,2.75,-0.19,1.41
Health,1.51,2.45,1.92,0.94,-0.53
Transport,6.24,5.98,5.71,-0.26,-0.27
Information And Communication,2.13,2.65,2.32,0.52,-0.34
"Recreation, Sport And Culture",0.55,0.15,1.4,-0.4,1.25
Education,2.03,0.53,3.05,-1.51,2.53
Hotels (accommodation Services),0.1,0.0,0.06,-0.1,0.06
Insurance And Financial Services,0.0,1.91,2.52,1.91,0.61
"Personal Care, Social Protection And Miscellaneous Goods And Services",9.3,5.61,4.71,-3.7,-0.9
Durable Furniture And Equipment,5.14,2.05,3.53,-3.09,1.47
Special Family Occasion,4.47,1.4,2.46,-3.07,1.06
Other Expenditures,1.16,0.74,1.18,-0.42,0.43
Region X - Northern Mindanao,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,43.9,43.26,41.19,-0.64,-2.07
Food Consumed At Home,37.96,40.73,38.85,2.77,-1.88
Food Regularly Consumed Outside The Home,5.94,2.52,2.33,-3.42,-0.19
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.51,1.52,1.3,0.01,-0.22
Clothing And Footwear,2.93,1.77,1.9,-1.17,0.13
"Housing, Water, Electricity, Gas And Other Fuels",19.3,21.82,21.01,2.52,-0.81
Furnishings And Routine Household Maintenance,2.18,1.9,2.71,-0.28,0.81
Health,2.68,2.9,2.83,0.23,-0.08
Transport,6.6,6.39,7.26,-0.21,0.87
Information And Communication,1.97,3.35,3.07,1.38,-0.28
"Recreation, Sport And Culture",0.66,0.42,0.77,-0.24,0.36
Education,2.63,1.55,3.94,-1.08,2.38
Hotels (accommodation Services),0.11,0.02,0.07,-0.09,0.06
Insurance And Financial Services,0.0,3.28,2.6,3.28,-0.68
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.27,4.27,3.51,-2.0,-0.75
Durable Furniture And Equipment,3.52,2.78,2.69,-0.74,-0.08
Special Family Occasion,4.02,3.11,3.6,-0.91,0.49
Other Expenditures,1.72,1.67,1.53,-0.06,-0.14
Bukidnon,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.99,45.55,42.96,-0.44,-2.59
Food Consumed At Home,40.5,44.15,41.15,3.65,-3.0
Food Regularly Consumed Outside The Home,5.49,1.38,1.8,-4.11,0.42
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,1.4,1.51,1.46,0.11,-0.05
Clothing And Footwear,3.73,2.06,2.18,-1.67,0.12
"Housing, Water, Electricity, Gas And Other Fuels",16.84,19.56,19.29,2.73,-0.27
Furnishings And Routine Household Maintenance,2.38,1.92,2.48,-0.46,0.57
Health,3.23,2.41,2.52,-0.82,0.1
Transport,6.28,7.01,7.07,0.73,0.06
Information And Communication,1.58,3.23,2.96,1.65,-0.27
"Recreation, Sport And Culture",0.72,0.48,0.59,-0.24,0.11
Education,1.94,1.49,3.18,-0.45,1.69
Hotels (accommodation Services),0.3,0.04,0.04,-0.26,0.0
Insurance And Financial Services,0.0,3.33,2.36,3.33,-0.97
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.31,4.4,3.72,-1.92,-0.67
Durable Furniture And Equipment,4.7,2.99,5.12,-1.71,2.13
Special Family Occasion,3.45,2.68,3.08,-0.78,0.4
Other Expenditures,1.15,1.35,1.0,0.2,-0.35
Camiguin,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,40.5,40.42,40.5,-0.07,0.08
Food Consumed At Home,36.44,39.07,38.28,2.63,-0.79
Food Regularly Consumed Outside The Home,4.06,1.35,2.22,-2.71,0.87
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.82,1.54,1.34,-0.29,-0.2
Clothing And Footwear,3.28,2.16,2.5,-1.12,0.33
"Housing, Water, Electricity, Gas And Other Fuels",19.55,21.22,19.84,1.67,-1.38
Furnishings And Routine Household Maintenance,2.35,2.75,3.28,0.4,0.53
Health,3.16,4.46,3.47,1.3,-0.99
Transport,5.56,5.6,6.91,0.04,1.32
Information And Communication,1.21,3.39,2.93,2.18,-0.47
"Recreation, Sport And Culture",0.91,0.5,0.89,-0.4,0.38
Education,1.94,1.4,3.19,-0.54,1.78
Hotels (accommodation Services),0.03,0.0,0.02,-0.02,0.02
Insurance And Financial Services,0.0,3.05,2.82,3.05,-0.23
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.88,4.99,3.93,-1.89,-1.06
Durable Furniture And Equipment,4.7,3.92,3.78,-0.78,-0.14
Special Family Occasion,5.96,2.57,3.03,-3.39,0.46
Other Expenditures,2.15,2.02,1.57,-0.14,-0.44
Lanao Del Norte (excluding City Of Iligan),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,54.9,50.71,46.6,-4.19,-4.1
Food Consumed At Home,49.36,49.18,44.03,-0.18,-5.15
Food Regularly Consumed Outside The Home,5.54,1.52,2.57,-4.01,1.04
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.6,1.92,1.39,0.32,-0.53
Clothing And Footwear,3.12,2.02,2.16,-1.1,0.14
"Housing, Water, Electricity, Gas And Other Fuels",16.21,20.61,17.12,4.4,-3.49
Furnishings And Routine Household Maintenance,1.79,1.61,2.57,-0.19,0.96
Health,1.78,2.16,2.68,0.38,0.52
Transport,5.5,5.94,6.49,0.44,0.55
Information And Communication,1.51,2.76,2.51,1.24,-0.25
"Recreation, Sport And Culture",0.57,0.2,0.75,-0.37,0.55
Education,2.07,0.83,4.76,-1.24,3.93
Hotels (accommodation Services),0.02,0.0,0.08,-0.02,0.07
Insurance And Financial Services,0.0,1.83,2.09,1.83,0.26
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.61,5.25,4.21,-0.36,-1.04
Durable Furniture And Equipment,1.58,1.34,1.68,-0.24,0.35
Special Family Occasion,2.71,2.12,3.48,-0.59,1.36
Other Expenditures,1.0,0.71,1.43,-0.3,0.72
City Of Iligan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.51,43.18,38.02,-1.33,-5.16
Food Consumed At Home,37.6,38.98,34.46,1.38,-4.51
Food Regularly Consumed Outside The Home,6.91,4.2,3.55,-2.71,-0.65
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.19,1.52,1.15,0.33,-0.37
Clothing And Footwear,3.1,1.8,1.77,-1.3,-0.03
"Housing, Water, Electricity, Gas And Other Fuels",20.75,24.65,25.17,3.9,0.52
Furnishings And Routine Household Maintenance,2.06,1.61,2.46,-0.45,0.85
Health,2.81,2.59,2.98,-0.22,0.38
Transport,6.6,6.15,8.37,-0.45,2.22
Information And Communication,2.67,3.88,3.67,1.21,-0.21
"Recreation, Sport And Culture",0.64,0.27,0.94,-0.38,0.68
Education,2.45,1.11,3.49,-1.34,2.38
Hotels (accommodation Services),0.03,0.01,0.05,-0.01,0.03
Insurance And Financial Services,0.0,3.51,2.91,3.51,-0.6
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.48,3.53,3.32,-2.95,-0.21
Durable Furniture And Equipment,2.41,2.34,1.09,-0.07,-1.25
Special Family Occasion,3.0,2.53,2.66,-0.46,0.13
Other Expenditures,1.29,1.31,1.95,0.02,0.64
Misamis Occidental,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.58,45.96,40.45,0.38,-5.51
Food Consumed At Home,42.03,42.49,37.5,0.46,-4.99
Food Regularly Consumed Outside The Home,3.55,3.47,2.93,-0.08,-0.54
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.02,0.0,0.02
Alcoholic Beverages And Tobacco,1.23,1.33,1.2,0.09,-0.13
Clothing And Footwear,2.81,1.81,1.71,-1.0,-0.11
"Housing, Water, Electricity, Gas And Other Fuels",16.4,16.96,16.95,0.56,-0.01
Furnishings And Routine Household Maintenance,2.33,1.88,3.06,-0.45,1.18
Health,2.35,3.49,3.44,1.14,-0.05
Transport,5.98,5.8,6.58,-0.18,0.78
Information And Communication,1.66,2.99,2.47,1.33,-0.52
"Recreation, Sport And Culture",0.73,0.53,0.77,-0.2,0.24
Education,3.44,1.56,4.87,-1.87,3.31
Hotels (accommodation Services),0.07,0.0,0.23,-0.07,0.23
Insurance And Financial Services,0.0,2.18,3.06,2.18,0.88
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.07,4.45,3.23,-1.62,-1.21
Durable Furniture And Equipment,5.32,4.54,4.55,-0.78,0.0
Special Family Occasion,4.17,4.87,5.3,0.69,0.43
Other Expenditures,1.85,1.66,2.14,-0.19,0.48
Misamis Oriental (excluding City Of Cagayan De Oro),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,43.23,42.54,42.65,-0.7,0.11
Food Consumed At Home,37.24,40.71,40.9,3.47,0.19
Food Regularly Consumed Outside The Home,5.99,1.82,1.74,-4.17,-0.08
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.87,1.87,1.48,0.0,-0.39
Clothing And Footwear,2.44,1.63,1.78,-0.81,0.15
"Housing, Water, Electricity, Gas And Other Fuels",19.41,19.95,20.75,0.54,0.8
Furnishings And Routine Household Maintenance,1.98,1.93,2.73,-0.05,0.8
Health,2.27,3.58,2.86,1.31,-0.72
Transport,7.0,6.25,6.99,-0.75,0.73
Information And Communication,1.77,3.02,3.1,1.25,0.08
"Recreation, Sport And Culture",0.47,0.41,0.86,-0.06,0.45
Education,2.07,1.45,3.73,-0.62,2.28
Hotels (accommodation Services),0.11,0.01,0.03,-0.1,0.02
Insurance And Financial Services,0.0,3.93,2.14,3.93,-1.8
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.54,4.82,3.51,-1.72,-1.32
Durable Furniture And Equipment,3.3,3.1,1.56,-0.2,-1.54
Special Family Occasion,5.48,3.66,4.3,-1.82,0.64
Other Expenditures,2.05,1.84,1.54,-0.21,-0.3
City Of Cagayan De Oro,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,36.92,37.12,37.04,0.21,-0.09
Food Consumed At Home,29.36,33.51,34.71,4.14,1.2
Food Regularly Consumed Outside The Home,7.55,3.61,2.31,-3.95,-1.3
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.02,0.01,0.01
Alcoholic Beverages And Tobacco,1.54,1.23,1.08,-0.31,-0.15
Clothing And Footwear,2.43,1.39,1.7,-1.04,0.31
"Housing, Water, Electricity, Gas And Other Fuels",23.88,28.24,26.15,4.37,-2.09
Furnishings And Routine Household Maintenance,2.27,2.01,2.84,-0.27,0.83
Health,2.91,2.8,2.68,-0.12,-0.12
Transport,7.46,6.52,8.14,-0.94,1.61
Information And Communication,2.68,4.01,3.63,1.33,-0.39
"Recreation, Sport And Culture",0.72,0.42,0.81,-0.31,0.4
Education,3.68,2.14,4.05,-1.54,1.91
Hotels (accommodation Services),0.02,0.02,0.06,0.0,0.04
Insurance And Financial Services,0.0,3.9,3.07,3.9,-0.82
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.27,3.4,3.15,-2.87,-0.25
Durable Furniture And Equipment,2.73,1.81,1.18,-0.92,-0.63
Special Family Occasion,4.12,2.67,2.92,-1.45,0.25
Other Expenditures,2.39,2.33,1.5,-0.05,-0.84
Region XI - Davao Region,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.05,41.44,39.73,-4.62,-1.71
Food Consumed At Home,38.64,39.39,36.69,0.75,-2.7
Food Regularly Consumed Outside The Home,7.41,2.04,3.04,-5.37,1.0
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.91,1.51,1.32,-0.4,-0.19
Clothing And Footwear,2.61,1.71,2.07,-0.91,0.36
"Housing, Water, Electricity, Gas And Other Fuels",19.41,25.0,22.96,5.59,-2.04
Furnishings And Routine Household Maintenance,1.95,1.61,2.5,-0.34,0.89
Health,2.19,2.81,2.51,0.62,-0.3
Transport,6.4,6.09,7.34,-0.31,1.26
Information And Communication,1.66,3.16,2.93,1.49,-0.22
"Recreation, Sport And Culture",0.64,0.39,0.79,-0.25,0.41
Education,2.44,1.73,3.48,-0.7,1.75
Hotels (accommodation Services),0.08,0.03,0.11,-0.05,0.08
Insurance And Financial Services,0.0,3.3,2.93,3.3,-0.37
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.3,4.48,3.76,-1.83,-0.72
Durable Furniture And Equipment,3.81,2.35,2.86,-1.46,0.51
Special Family Occasion,3.2,2.97,2.98,-0.23,0.01
Other Expenditures,1.33,1.43,1.73,0.1,0.3
Davao Del Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,48.6,44.01,44.93,-4.59,0.92
Food Consumed At Home,42.67,40.89,39.49,-1.78,-1.4
Food Regularly Consumed Outside The Home,5.93,3.12,5.44,-2.81,2.32
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,0.0
Alcoholic Beverages And Tobacco,1.61,1.31,1.19,-0.3,-0.12
Clothing And Footwear,2.47,1.92,1.86,-0.55,-0.06
"Housing, Water, Electricity, Gas And Other Fuels",17.92,24.47,20.32,6.55,-4.15
Furnishings And Routine Household Maintenance,1.77,1.51,2.36,-0.26,0.85
Health,2.33,2.38,1.95,0.05,-0.43
Transport,6.3,6.07,6.54,-0.23,0.47
Information And Communication,1.51,2.59,2.75,1.08,0.16
"Recreation, Sport And Culture",0.55,0.61,0.94,0.06,0.33
Education,1.9,1.18,1.86,-0.72,0.68
Hotels (accommodation Services),0.1,0.0,0.03,-0.1,0.03
Insurance And Financial Services,0.0,2.62,3.12,2.62,0.5
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.28,4.14,3.45,-2.14,-0.7
Durable Furniture And Equipment,4.73,1.88,1.51,-2.85,-0.37
Special Family Occasion,3.11,3.89,4.33,0.78,0.45
Other Expenditures,0.81,1.4,2.84,0.59,1.45
Davao Del Sur (excluding City Of Davao),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.2,43.11,39.64,-4.1,-3.46
Food Consumed At Home,41.67,41.4,36.72,-0.27,-4.67
Food Regularly Consumed Outside The Home,5.54,1.71,2.92,-3.83,1.21
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.46,1.94,1.47,-0.52,-0.46
Clothing And Footwear,3.07,1.94,2.55,-1.13,0.61
"Housing, Water, Electricity, Gas And Other Fuels",19.12,20.46,19.56,1.34,-0.9
Furnishings And Routine Household Maintenance,2.38,2.06,2.56,-0.32,0.5
Health,2.31,2.91,3.35,0.6,0.43
Transport,6.1,6.35,8.04,0.25,1.69
Information And Communication,1.51,2.88,2.71,1.36,-0.16
"Recreation, Sport And Culture",0.55,0.51,0.76,-0.05,0.26
Education,2.76,1.64,4.17,-1.13,2.53
Hotels (accommodation Services),0.14,0.03,0.06,-0.11,0.03
Insurance And Financial Services,0.0,3.61,3.09,3.61,-0.53
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.36,5.47,4.11,-0.9,-1.36
Durable Furniture And Equipment,2.1,2.33,2.72,0.23,0.39
Special Family Occasion,2.86,3.17,3.16,0.31,-0.01
Other Expenditures,1.06,1.61,2.05,0.55,0.44
City Of Davao,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,42.66,35.83,34.02,-6.83,-1.81
Food Consumed At Home,32.49,33.69,31.68,1.21,-2.01
Food Regularly Consumed Outside The Home,10.17,2.13,2.33,-8.04,0.2
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.89,1.17,1.34,-0.72,0.16
Clothing And Footwear,2.42,1.39,1.83,-1.04,0.45
"Housing, Water, Electricity, Gas And Other Fuels",21.83,30.87,27.83,9.05,-3.04
Furnishings And Routine Household Maintenance,1.71,1.35,2.46,-0.35,1.1
Health,2.24,2.94,2.55,0.7,-0.39
Transport,6.89,5.89,7.87,-1.0,1.98
Information And Communication,2.06,3.74,3.34,1.68,-0.4
"Recreation, Sport And Culture",0.68,0.27,0.72,-0.41,0.45
Education,2.73,2.33,4.08,-0.41,1.75
Hotels (accommodation Services),0.06,0.0,0.13,-0.06,0.12
Insurance And Financial Services,0.0,3.9,3.08,3.9,-0.82
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.38,4.32,3.57,-2.05,-0.75
Durable Furniture And Equipment,4.07,2.53,3.72,-1.54,1.19
Special Family Occasion,2.92,1.99,2.14,-0.93,0.16
Other Expenditures,1.48,1.48,1.33,0.0,-0.15
Davao Oriental,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,50.67,49.73,46.03,-0.94,-3.7
Food Consumed At Home,46.55,48.64,44.05,2.09,-4.59
Food Regularly Consumed Outside The Home,4.12,1.09,1.97,-3.04,0.89
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.19,2.3,1.33,0.11,-0.97
Clothing And Footwear,2.66,1.74,2.15,-0.92,0.41
"Housing, Water, Electricity, Gas And Other Fuels",14.88,14.13,16.41,-0.76,2.29
Furnishings And Routine Household Maintenance,2.38,1.82,2.84,-0.56,1.02
Health,1.69,3.39,2.45,1.7,-0.94
Transport,5.41,6.46,6.33,1.06,-0.13
Information And Communication,1.06,2.93,2.86,1.87,-0.07
"Recreation, Sport And Culture",0.82,0.44,1.2,-0.38,0.76
Education,1.42,0.7,3.52,-0.73,2.82
Hotels (accommodation Services),0.08,0.03,0.14,-0.05,0.11
Insurance And Financial Services,0.0,3.02,2.18,3.02,-0.84
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.93,4.21,4.15,-1.72,-0.06
Durable Furniture And Equipment,3.64,1.66,2.57,-1.98,0.91
Special Family Occasion,5.09,5.9,4.59,0.81,-1.31
Other Expenditures,2.08,1.55,1.26,-0.53,-0.29
Davao De Oro,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,49.39,49.55,45.59,0.16,-3.96
Food Consumed At Home,45.49,48.09,42.41,2.59,-5.68
Food Regularly Consumed Outside The Home,3.9,1.46,3.16,-2.44,1.7
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.02,0.01,0.01
Alcoholic Beverages And Tobacco,1.59,1.93,1.07,0.34,-0.86
Clothing And Footwear,2.88,2.2,2.37,-0.67,0.17
"Housing, Water, Electricity, Gas And Other Fuels",17.08,16.93,18.61,-0.15,1.67
Furnishings And Routine Household Maintenance,2.4,1.9,2.42,-0.5,0.52
Health,2.19,2.49,2.42,0.3,-0.07
Transport,6.27,6.76,7.24,0.49,0.48
Information And Communication,1.18,2.57,2.33,1.39,-0.24
"Recreation, Sport And Culture",0.58,0.36,0.56,-0.22,0.2
Education,2.65,1.4,3.32,-1.25,1.92
Hotels (accommodation Services),0.08,0.21,0.2,0.12,-0.01
Insurance And Financial Services,0.0,2.3,2.79,2.3,0.49
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.44,4.56,4.11,-1.88,-0.46
Durable Furniture And Equipment,2.97,2.65,2.58,-0.32,-0.06
Special Family Occasion,3.23,3.2,2.86,-0.03,-0.34
Other Expenditures,1.06,0.97,1.52,-0.09,0.55
Davao Occidental,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,52.22,51.09,49.95,-1.13,-1.14
Food Consumed At Home,48.79,50.33,48.18,1.54,-2.15
Food Regularly Consumed Outside The Home,3.42,0.75,1.78,-2.67,1.02
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.19,2.21,1.82,0.02,-0.39
Clothing And Footwear,3.58,2.35,3.02,-1.23,0.68
"Housing, Water, Electricity, Gas And Other Fuels",14.74,17.41,17.49,2.67,0.08
Furnishings And Routine Household Maintenance,2.37,2.46,2.98,0.1,0.52
Health,1.81,2.48,2.3,0.67,-0.18
Transport,4.34,5.1,5.48,0.76,0.38
Information And Communication,0.71,1.8,1.81,1.09,0.01
"Recreation, Sport And Culture",0.61,0.35,0.81,-0.26,0.45
Education,2.29,0.7,2.67,-1.59,1.97
Hotels (accommodation Services),0.04,0.01,0.09,-0.03,0.08
Insurance And Financial Services,0.0,1.62,1.77,1.62,0.14
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.87,5.06,4.37,-0.81,-0.69
Durable Furniture And Equipment,3.8,3.05,1.57,-0.75,-1.48
Special Family Occasion,3.67,2.91,2.48,-0.76,-0.43
Other Expenditures,1.77,1.41,1.39,-0.37,-0.02
Region XII - Soccsksargen,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.12,44.52,43.16,-2.61,-1.35
Food Consumed At Home,40.77,42.7,38.68,1.93,-4.02
Food Regularly Consumed Outside The Home,6.35,1.81,4.47,-4.55,2.66
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,2.29,2.17,1.56,-0.12,-0.61
Clothing And Footwear,3.13,2.43,2.52,-0.7,0.09
"Housing, Water, Electricity, Gas And Other Fuels",15.66,18.01,17.82,2.35,-0.19
Furnishings And Routine Household Maintenance,2.12,1.76,2.5,-0.36,0.74
Health,3.29,3.25,3.36,-0.04,0.11
Transport,6.64,7.07,7.43,0.43,0.36
Information And Communication,1.48,2.89,2.8,1.41,-0.1
"Recreation, Sport And Culture",0.73,0.5,0.9,-0.23,0.4
Education,2.55,1.73,3.25,-0.82,1.52
Hotels (accommodation Services),0.14,0.05,0.11,-0.09,0.06
Insurance And Financial Services,0.0,3.31,2.51,3.31,-0.8
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.09,4.72,3.87,-1.37,-0.85
Durable Furniture And Equipment,3.7,2.97,2.4,-0.72,-0.58
